track_name,artist_name,playcount,listeners,url,image_url
EN CASITA (feat. Gabriela),Bad Bunny,8284,1392,https://www.last.fm/music/Bad+Bunny/_/EN+CASITA+(feat.+Gabriela),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
MÍA,Bad Bunny,11414,1150,https://www.last.fm/music/Bad+Bunny/_/M%C3%8DA,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
CÓMO SE SIENTE (Remix),Bad Bunny,4830,875,https://www.last.fm/music/Bad+Bunny/_/C%C3%93MO+SE+SIENTE+(Remix),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Si Estuviésemos Juntos Juntos,Bad Bunny,2960,806,https://www.last.fm/music/Bad+Bunny/_/Si+Estuvi%C3%A9semos+Juntos+Juntos,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
CALLAÍTA (Video Oficial),Bad Bunny,2758,773,https://www.last.fm/music/Bad+Bunny/_/CALLA%C3%8DTA+(Video+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
I Like It,Bad Bunny,3160,769,https://www.last.fm/music/Bad+Bunny/_/I+Like+It,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Callaíta,Bad Bunny,3599,764,https://www.last.fm/music/Bad+Bunny/_/Calla%C3%ADta,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Tú No Metes Cabra,Bad Bunny,4454,748,https://www.last.fm/music/Bad+Bunny/_/T%C3%BA+No+Metes+Cabra,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
BOOKER T (Video Oficial),Bad Bunny,3171,736,https://www.last.fm/music/Bad+Bunny/_/BOOKER+T+(Video+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
CANCIÓN CON YANDEL,Bad Bunny,5141,721,https://www.last.fm/music/Bad+Bunny/_/CANCI%C3%93N+CON+YANDEL,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Pa Ti (feat. Bryant Myers),Bad Bunny,4642,706,https://www.last.fm/music/Bad+Bunny/_/Pa+Ti+(feat.+Bryant+Myers),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Soy Peor (Video oficial),Bad Bunny,1825,635,https://www.last.fm/music/Bad+Bunny/_/Soy+Peor+(Video+oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
MIA (con Drake),Bad Bunny,2151,605,https://www.last.fm/music/Bad+Bunny/_/MIA+(con+Drake),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Neverita (Video Oficial),Bad Bunny,3174,563,https://www.last.fm/music/Bad+Bunny/_/Neverita+(Video+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
La Santa (feat. Daddy Yankee),Bad Bunny,3893,488,https://www.last.fm/music/Bad+Bunny/_/La+Santa+(feat.+Daddy+Yankee),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Amorfoda | Oficial,Bad Bunny,1420,466,https://www.last.fm/music/Bad+Bunny/_/Amorfoda+%7C+Oficial,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Loco Pero Millonario,Bad Bunny,1295,463,https://www.last.fm/music/Bad+Bunny/_/Loco+Pero+Millonario,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Enseñame a Bailar,Bad Bunny,4061,427,https://www.last.fm/music/Bad+Bunny/_/Ense%C3%B1ame+a+Bailar,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Qué Malo,Bad Bunny,3673,423,https://www.last.fm/music/Bad+Bunny/_/Qu%C3%A9+Malo,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Bichiyal (feat. Yaviah),Bad Bunny,2840,411,https://www.last.fm/music/Bad+Bunny/_/Bichiyal+(feat.+Yaviah),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Ignorantes (feat. Sech),Bad Bunny,4000,407,https://www.last.fm/music/Bad+Bunny/_/Ignorantes+(feat.+Sech),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Me Porto Bonito (Feat. Chencho Corleone),Bad Bunny,4647,406,https://www.last.fm/music/Bad+Bunny/_/Me+Porto+Bonito+(Feat.+Chencho+Corleone),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Tití Me Preguntó (Video Oficial),Bad Bunny,933,403,https://www.last.fm/music/Bad+Bunny/_/Tit%C3%AD+Me+Pregunt%C3%B3+(Video+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
CANTARES DE NAVIDAD,Bad Bunny,2928,393,https://www.last.fm/music/Bad+Bunny/_/CANTARES+DE+NAVIDAD,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Me Llueven,Bad Bunny,1788,386,https://www.last.fm/music/Bad+Bunny/_/Me+Llueven,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
LA NOCHE DE ANOCHE (FEAT. ROSALÍA),Bad Bunny,6187,376,https://www.last.fm/music/Bad+Bunny/_/LA+NOCHE+DE+ANOCHE+(FEAT.+ROSAL%C3%8DA),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
HOY COBRÉ (Video Oficial),Bad Bunny,1164,375,https://www.last.fm/music/Bad+Bunny/_/HOY+COBR%C3%89+(Video+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Moscow Mule [Explicit],Bad Bunny,1536,364,https://www.last.fm/music/Bad+Bunny/_/Moscow+Mule+%5BExplicit%5D,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
AMORFODA (Video Oficial),Bad Bunny,1000,362,https://www.last.fm/music/Bad+Bunny/_/AMORFODA+(Video+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Me Fuí de Vacaciones,Bad Bunny,3978,360,https://www.last.fm/music/Bad+Bunny/_/Me+Fu%C3%AD+de+Vacaciones,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Mi Puerto Rico,Bad Bunny,539,359,https://www.last.fm/music/Bad+Bunny/_/Mi+Puerto+Rico,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Moscow Mule (Video Oficial),Bad Bunny,1644,356,https://www.last.fm/music/Bad+Bunny/_/Moscow+Mule+(Video+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
"Ojitos Lindos (feat. Bomba Estéreo, Benito Antonio Martínez Ocasio, Liliana Margarita Saumet)",Bad Bunny,1640,350,"https://www.last.fm/music/Bad+Bunny/_/Ojitos+Lindos+(feat.+Bomba+Est%C3%A9reo,+Benito+Antonio+Mart%C3%ADnez+Ocasio,+Liliana+Margarita+Saumet)",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Estamos Bien | Oficial,Bad Bunny,1255,347,https://www.last.fm/music/Bad+Bunny/_/Estamos+Bien+%7C+Oficial,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
CÓMO SE SIENTE,Bad Bunny,1643,338,https://www.last.fm/music/Bad+Bunny/_/C%C3%93MO+SE+SIENTE,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Tití Me Preguntó [Explicit],Bad Bunny,1295,335,https://www.last.fm/music/Bad+Bunny/_/Tit%C3%AD+Me+Pregunt%C3%B3+%5BExplicit%5D,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Una Vez (feat. Mora),Bad Bunny,1818,328,https://www.last.fm/music/Bad+Bunny/_/Una+Vez+(feat.+Mora),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Salimos a Buscarte,Bad Bunny,777,326,https://www.last.fm/music/Bad+Bunny/_/Salimos+a+Buscarte,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Efecto (360° Visualizer),Bad Bunny,1222,324,https://www.last.fm/music/Bad+Bunny/_/Efecto+(360%C2%B0+Visualizer),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
MIA (part. Drake),Bad Bunny,1007,317,https://www.last.fm/music/Bad+Bunny/_/MIA+(part.+Drake),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Contigo,Bad Bunny,1690,315,https://www.last.fm/music/Bad+Bunny/_/Contigo,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Bad Bunny x Jhay Cortez - Dákiti,Bad Bunny,1196,309,https://www.last.fm/music/Bad+Bunny/_/Bad+Bunny+x+Jhay+Cortez+-+D%C3%A1kiti,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Yonaguni [Explicit],Bad Bunny,1250,303,https://www.last.fm/music/Bad+Bunny/_/Yonaguni+%5BExplicit%5D,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Teresa Mendoza,Bad Bunny,402,291,https://www.last.fm/music/Bad+Bunny/_/Teresa+Mendoza,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Mia 2.0,Bad Bunny,789,290,https://www.last.fm/music/Bad+Bunny/_/Mia+2.0,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Efecto (feat. Benito Antonio Martínez Ocasio),Bad Bunny,1258,286,https://www.last.fm/music/Bad+Bunny/_/Efecto+(feat.+Benito+Antonio+Mart%C3%ADnez+Ocasio),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Tití Me Preguntó (feat. Benito Antonio Martínez Ocasio),Bad Bunny,1086,275,https://www.last.fm/music/Bad+Bunny/_/Tit%C3%AD+Me+Pregunt%C3%B3+(feat.+Benito+Antonio+Mart%C3%ADnez+Ocasio),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
DÁKITI (feat. Jhay Cortez),Bad Bunny,3618,269,https://www.last.fm/music/Bad+Bunny/_/D%C3%81KITI+(feat.+Jhay+Cortez),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Vete [Explicit],Bad Bunny,888,268,https://www.last.fm/music/Bad+Bunny/_/Vete+%5BExplicit%5D,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
"Moscow Mule (feat. Benito Antonio Martínez Ocasio, Mick Coogan)",Bad Bunny,826,267,"https://www.last.fm/music/Bad+Bunny/_/Moscow+Mule+(feat.+Benito+Antonio+Mart%C3%ADnez+Ocasio,+Mick+Coogan)",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
La Romana FT El Alfa (feat. El Alfa),Bad Bunny,1409,261,https://www.last.fm/music/Bad+Bunny/_/La+Romana+FT+El+Alfa+(feat.+El+Alfa),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Bad Bunny - Yonaguni,Bad Bunny,737,260,https://www.last.fm/music/Bad+Bunny/_/Bad+Bunny+-+Yonaguni,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
La Romana FT El Alfa,Bad Bunny,535,257,https://www.last.fm/music/Bad+Bunny/_/La+Romana+FT+El+Alfa,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Está Cabrón Ser Yo (feat. Anuel AA),Bad Bunny,1550,255,https://www.last.fm/music/Bad+Bunny/_/Est%C3%A1+Cabr%C3%B3n+Ser+Yo+(feat.+Anuel+AA),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
WHERE SHE GOES (Video Oficial),Bad Bunny,1166,255,https://www.last.fm/music/Bad+Bunny/_/WHERE+SHE+GOES+(Video+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Puesto Pa' Guerrial (feat. Myke Towers),Bad Bunny,1281,250,https://www.last.fm/music/Bad+Bunny/_/Puesto+Pa%27+Guerrial+(feat.+Myke+Towers),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Ojitos Lindos (Feat. Bomba Estéreo),Bad Bunny,3926,247,https://www.last.fm/music/Bad+Bunny/_/Ojitos+Lindos+(Feat.+Bomba+Est%C3%A9reo),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
"Soy Peor (feat. J Balvin, Ozuna & Arcángel) [Remix]",Bad Bunny,2170,245,"https://www.last.fm/music/Bad+Bunny/_/Soy+Peor+(feat.+J+Balvin,+Ozuna+&+Arc%C3%A1ngel)+%5BRemix%5D",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
De Museo (Audio Oficial),Bad Bunny,1382,244,https://www.last.fm/music/Bad+Bunny/_/De+Museo+(Audio+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Me Porto Bonito (Ft. Chencho Corleone),Bad Bunny,1116,244,https://www.last.fm/music/Bad+Bunny/_/Me+Porto+Bonito+(Ft.+Chencho+Corleone),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
BAD BUNNY x ROSALÍA - LA NOCHE DE ANOCHE,Bad Bunny,642,237,https://www.last.fm/music/Bad+Bunny/_/BAD+BUNNY+x+ROSAL%C3%8DA+-+LA+NOCHE+DE+ANOCHE,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
I Like It (Dillon Francis Remix),Bad Bunny,573,230,https://www.last.fm/music/Bad+Bunny/_/I+Like+It+(Dillon+Francis+Remix),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Después de la Playa (360° Visualizer),Bad Bunny,557,224,https://www.last.fm/music/Bad+Bunny/_/Despu%C3%A9s+de+la+Playa+(360%C2%B0+Visualizer),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Dema Ga Ge Gi Go Gu,Bad Bunny,755,222,https://www.last.fm/music/Bad+Bunny/_/Dema+Ga+Ge+Gi+Go+Gu,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
"Me Porto Bonito (feat. Chencho Corleone, Benito Antonio Martínez Ocasio, Orlando Javier Valle Vega)",Bad Bunny,561,221,"https://www.last.fm/music/Bad+Bunny/_/Me+Porto+Bonito+(feat.+Chencho+Corleone,+Benito+Antonio+Mart%C3%ADnez+Ocasio,+Orlando+Javier+Valle+Vega)",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
El Mundo Es Mio,Bad Bunny,2492,218,https://www.last.fm/music/Bad+Bunny/_/El+Mundo+Es+Mio,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Titi Me Pregunto,Bad Bunny,3754,212,https://www.last.fm/music/Bad+Bunny/_/Titi+Me+Pregunto,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
La Presion Se Siente,Bad Bunny,529,211,https://www.last.fm/music/Bad+Bunny/_/La+Presion+Se+Siente,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Solía,Bad Bunny,1575,202,https://www.last.fm/music/Bad+Bunny/_/Sol%C3%ADa,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Yo No Soy Celoso (360° Visualizer),Bad Bunny,593,202,https://www.last.fm/music/Bad+Bunny/_/Yo+No+Soy+Celoso+(360%C2%B0+Visualizer),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
La Romana FT El Alfa (con El Alfa),Bad Bunny,657,197,https://www.last.fm/music/Bad+Bunny/_/La+Romana+FT+El+Alfa+(con+El+Alfa),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chambea (),Bad Bunny,648,195,https://www.last.fm/music/Bad+Bunny/_/Chambea+(),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
TÚ NO METES CABRA (Video Oficial),Bad Bunny,436,193,https://www.last.fm/music/Bad+Bunny/_/T%C3%9A+NO+METES+CABRA+(Video+Oficial),https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
